GEOID,total_population,median_household_income,poverty_rate_pct,pct_no_vehicle
24027,332011,140971.0,5.322414016403071,3.992283821185943
24029,19289,71635.0,8.777023173829644,6.48358208955224
24031,1056910,125583.0,7.115553831452064,7.862252260670051
24033,957189,97935.0,9.366070859569009,9.308121516344775
24035,50316,108332.0,6.79505525081485,3.121285721668131
24037,113814,113668.0,7.429665946192911,4.476960034942127
24039,24672,52149.0,15.896562905317769,7.4685816876122075
24041,37663,81667.0,9.186734991901867,7.221880762138906
24043,154645,73017.0,11.728151572957419,7.940593724069026
24045,103815,69421.0,13.335259837210423,7.356218232805027
24047,52827,76689.0,8.092452723039354,5.55484503559705
24510,584548,58349.0,18.905034317113394,26.452077400983693
25001,229436,90447.0,6.934831499851811,4.969540557572848
25003,128763,69744.0,10.498357447403368,9.406540889475373
25005,576699,80628.0,10.88973624022237,9.573176832955568
25007,20543,93225.0,6.6397312953317424,3.8991158138860706
25009,806103,94378.0,9.53352115052295,9.936495957221045
25011,70980,70383.0,11.77796562411947,7.331753857975283
25013,464575,66619.0,15.33702846687833,12.248882102737484
25015,153931,84025.0,9.181386465364351,7.356628781711011
25017,1623109,121304.0,7.2114688539093805,10.480568456988607
25019,14065,135590.0,4.884464984002844,4.03520068684267
25021,722112,120621.0,6.315779269697776,9.133871245127265
25023,529548,105387.0,6.5238656363540235,6.325620673881681
25025,785443,87669.0,16.166290870247746,31.822979139198328
25027,858898,88524.0,9.698939804260808,8.657691504273142
26001,10238,50295.0,15.667122484860323,3.47682119205298
26003,8866,55528.0,9.03451387322355,5.894929749541845
26005,120189,75543.0,9.407682899433393,3.059097734250689
26007,28911,49133.0,16.20490470755076,9.000864711893719
26009,23662,68850.0,9.293381793593102,3.6030164789125783
26011,15031,53487.0,13.432240037256339,7.301337529504328
26013,8245,51911.0,10.636749545178896,7.867941993211971
26015,62581,75182.0,8.250107860213165,3.3887836613686897
26017,103752,57887.0,15.146695967306654,6.8668192626502815
26019,18058,71327.0,10.311219404142207,2.913704168409313
26021,153938,60379.0,15.43218698437033,7.834739891674014
26023,44795,60600.0,14.30740037950664,6.39871190887948
26025,134011,58191.0,14.446575281133638,7.360980207351556
26027,51604,65183.0,12.737384698860554,4.100293565619135
26029,26174,69764.0,8.519905249484221,5.542838456507521
26031,25709,59557.0,11.781866272511571,4.657276995305164
26033,36670,58408.0,14.837742023452414,7.67440168764094
26035,30998,47816.0,21.823988644428674,7.842480100544617
26037,79249,82594.0,9.448699668134614,2.5531229877656147
26039,13197,57998.0,13.624308554974615,7.200411452082976
26041,36839,53852.0,13.035098672602405,8.863794082392278
26043,25937,59651.0,9.550063615684158,6.859861591695501
26045,109072,77158.0,7.477629455772333,4.3
26047,34072,69690.0,8.264850903968068,5.264969029593944
26049,405280,58594.0,16.052112120015792,7.906780681681321
26051,25461,53717.0,14.037154864302268,6.768579058845198
26053,14597,47913.0,13.653490443241761,8.303301138820816
26055,95315,75553.0,10.25232125059015,5.75806284351343
26057,41534,57934.0,12.055183704916454,5.161509690581434
26059,45698,59425.0,14.622084117466846,6.1058729978416455
26061,37414,52736.0,15.603784679531726,9.130035983913073
26063,31461,54475.0,11.12806331648708,6.161415877212308
26065,282540,62548.0,15.511078077440363,9.110403984504705
26067,66663,71720.0,9.762536939531675,5.301998682187568
26069,25319,46224.0,14.878154745448082,7.4926457864682465
26071,11585,52241.0,14.17350021579629,7.687861271676301
26073,64938,52638.0,21.555945671255657,6.990954773869347
26075,160637,62581.0,11.377204504566196,7.048131616687346
26077,261426,67905.0,12.971548354027526,6.769568135202321
26079,17934,56380.0,14.581242332998773,5.259590619493019
26081,657321,76247.0,10.556181835054716,6.702968808123659
26083,2088,55560.0,7.806513409961687,2.15962441314554
26085,12285,45946.0,19.812779812779812,9.276764123983293
26087,88687,75402.0,9.958618512296052,4.305032273138818
26089,22426,82345.0,6.612860073129403,3.9692840147090633
26091,99263,65484.0,10.52859575068253,5.170092683684565
26093,194302,96135.0,4.8182725859744115,2.9542630376397967
26095,5442,51015.0,14.773980154355016,5.6174334140435835
26097,10843,60620.0,15.539979710412247,12.13164944508228
26099,878453,73876.0,9.723684704816307,5.829200199858293
26101,25058,59467.0,10.64330752653843,4.986400725294652
26103,66376,63115.0,12.858563336145595,6.001097092704334
26105,29178,60744.0,13.517033381314688,6.831489915419649
26107,40128,54132.0,16.890948963317385,6.222443023039186
26109,23433,54074.0,10.51508556309478,6.82980643867215
26111,83503,73643.0,9.984072428535502,5.78692917054986
26113,15089,57667.0,11.107429253098283,3.8686382393397523
26115,154823,72573.0,10.780052059448533,5.189588688946015
26117,66901,61250.0,11.781587719167128,6.012341561040694
26119,9261,46345.0,18.248569268977434,7.396323215049167
26121,175947,61347.0,12.460002159741286,7.08912080486523
26123,50130,59065.0,15.034909235986435,4.446894524072032
26125,1272264,92620.0,7.632613985776537,5.451995380763089
26127,26707,60691.0,13.693039278091886,4.830917874396135
26129,20820,50377.0,16.738712776176754,5.666189899878975
26131,5862,48316.0,13.54486523370863,4.9094707520891365
26133,23022,54875.0,15.424376683172616,6.882955953587924
26135,8264,48692.0,13.782671829622458,7.199999999999999
26137,25221,62865.0,10.519011934499028,5.9167750325097535
26139,296183,83932.0,7.305956114969462,3.918347760284971
26141,13083,55986.0,12.573568753344034,5.6792144026186575
26143,23556,49898.0,15.953472575989133,7.923930269413629
26145,189821,56579.0,17.631874239415026,7.984615384615385
